Type,Family,Cost,Cut Length,Structural Material,Count
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3340,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3179,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3100,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,2931,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,2259,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,1944,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1766,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,705,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,3311,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,3514,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3779,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3331,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3331,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1142,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1049,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1237,Metal - Acero - 345 MPa,1
IPE300,IPE-Beams,320,1287,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1307,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3300,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1049,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,962,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,839,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,852,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,8212,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3376,Metal - Acero - 345 MPa,1
CHS168.3x10,CHS-Circular Hollow Sections,205,4077,Metal - Acero - 345 MPa,1
CHS168.3x10,CHS-Circular Hollow Sections,205,4077,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,974,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2874,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3179,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,2924,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1945,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1945,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1017,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,936,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,12640,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,404,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,408,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,780,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,780,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,780,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,780,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,2941,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,2888,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,2707,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,2810,Metal - Acero - 345 MPa,1
CHS168.3x10,CHS-Circular Hollow Sections,205,3670,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,1097,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,1017,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1165,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1165,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1116,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3280,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1036,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,869,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,839,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,839,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,9405,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,4082,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2957,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,914,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,914,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1148,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1068,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1237,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1287,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,1264,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3313,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,1057,Metal - Acero - 345 MPa,1
UPE 220,UPE - Canales de ala paralela,195,3437,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2904,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,978,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,966,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,2811,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2904,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,2811,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2894,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,2811,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,1361,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,1361,Metal - Acero - 345 MPa,1
HSS101.6X8,HSS-Tubo estructural redondo,215,2319,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,2304,Metal - Acero - 345 MPa,1
CHS168.3x10,CHS-Circular Hollow Sections,205,4215,Metal - Acero - 345 MPa,1
HSS127X12.7,HSS-Tubo estructural redondo,200,3863,Metal - Acero - 345 MPa,1
HSS127X12.7,HSS-Tubo estructural redondo,200,3553,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,914,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,914,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,914,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,2814,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
IPE 360,IPE - Secciones en I con alas paralelas,275,3092,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,2992,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2954,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,880,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,995,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,911,Metal - Acero - 345 MPa,1
IPE 160,IPE - Secciones en I con alas paralelas,187,1319,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,2992,Metal - Acero - 345 MPa,1
IPE 160,IPE - Secciones en I con alas paralelas,187,1319,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,254,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,254,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2364,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,1172,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2317,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,860,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2924,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,3010,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,2992,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2818,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,880,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,995,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,911,Metal - Acero - 345 MPa,1
IPE 160,IPE - Secciones en I con alas paralelas,187,1319,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,2992,Metal - Acero - 345 MPa,1
IPE 160,IPE - Secciones en I con alas paralelas,187,1319,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,254,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,254,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2317,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,1125,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2317,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,1125,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2914,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,3010,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,2934,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2818,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,880,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,995,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,911,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,1319,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,2934,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,1319,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,254,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,254,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2317,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,1125,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2317,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,1125,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,2914,Metal - Acero - 345 MPa,1
IPE 120,IPE - Secciones en I con alas paralelas,310,3010,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3092,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,914,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1240,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2977,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3092,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3092,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,914,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3092,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3092,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,914,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,3092,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,2814,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3255,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3255,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,3183,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,1424,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1452,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1310,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,2139,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,2435,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,2674,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,3970,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,2757,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,2906,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3672,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,3015,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,3068,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,4017,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3361,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3678,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1142,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1061,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1237,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,1287,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1284,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3170,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1049,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3442,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,932,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1015,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3077,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,3874,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3874,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,3887,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,2514,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2514,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,2514,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,3874,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2514,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2860,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3538,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2940,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2514,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,3874,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,2514,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,3874,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2940,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2940,Metal - Acero - 345 MPa,1
UPE 200,UPE - Canales de ala paralela,265,2940,Metal - Acero - 345 MPa,1
UPE 160,UPE - Canales de ala paralela,189,3874,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,3874,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3671,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,2514,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,2514,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3671,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3671,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,3671,Metal - Acero - 345 MPa,1
UPN 160,UPN - Canales de ala c?nica,45,3874,Metal - Acero - 345 MPa,1
UPE 160,UPE - Canales de ala paralela,189,3874,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,4768,Metal - Acero - 345 MPa,1
HSS101.6X8,HSS-Tubo estructural redondo,215,3566,Metal - Acero - 345 MPa,1
